Poison/Grass:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 50), ('Grass', 25), ('Ice', 200), ('Fighting', 50), ('Poison', 100), ('Ground', 100), ('Flying', 200), ('Psychic', 200), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Water/Psychic:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 200), ('Grass', 200), ('Ice', 50), ('Fighting', 50), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 50), ('Bug', 200), ('Rock', 100), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 50), ('Fairy', 100)]
Ice/Electric:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 50), ('Grass', 100), ('Ice', 50), ('Fighting', 200), ('Poison', 100), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Water/Fire:[('Normal', 100), ('Fire', 25), ('Water', 100), ('Electric', 200), ('Grass', 100), ('Ice', 25), ('Fighting', 100), ('Poison', 100), ('Ground', 200), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 25), ('Fairy', 50)]
Ghost/Fire:[('Normal', 0), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 0), ('Poison', 50), ('Ground', 200), ('Flying', 100), ('Psychic', 100), ('Bug', 25), ('Rock', 200), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 50), ('Fairy', 50)]
Ground/Ghost:[('Normal', 0), ('Fire', 100), ('Water', 200), ('Electric', 0), ('Grass', 200), ('Ice', 200), ('Fighting', 0), ('Poison', 25), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 50), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 100)]
Fighting/Normal:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 200), ('Poison', 100), ('Ground', 100), ('Flying', 200), ('Psychic', 200), ('Bug', 50), ('Rock', 50), ('Ghost', 0), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Ground/Fairy:[('Normal', 100), ('Fire', 100), ('Water', 200), ('Electric', 0), ('Grass', 200), ('Ice', 200), ('Fighting', 50), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 50), ('Ghost', 100), ('Dragon', 0), ('Dark', 50), ('Steel', 200), ('Fairy', 100)]
Water/Bug:[('Normal', 100), ('Fire', 100), ('Water', 50), ('Electric', 200), ('Grass', 100), ('Ice', 50), ('Fighting', 50), ('Poison', 100), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Rock/Psychic:[('Normal', 50), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 200), ('Ice', 100), ('Fighting', 100), ('Poison', 50), ('Ground', 200), ('Flying', 50), ('Psychic', 50), ('Bug', 200), ('Rock', 100), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 200), ('Fairy', 100)]
Flying/Electric:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 200), ('Fighting', 50), ('Poison', 100), ('Ground', 0), ('Flying', 50), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Rock/Fairy:[('Normal', 50), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 200), ('Ice', 100), ('Fighting', 100), ('Poison', 100), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 0), ('Dark', 50), ('Steel', 400), ('Fairy', 100)]
Dragon/Flying:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 100), ('Grass', 25), ('Ice', 400), ('Fighting', 50), ('Poison', 100), ('Ground', 0), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 200), ('Dark', 100), ('Steel', 100), ('Fairy', 200)]
Dragon/Electric:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 25), ('Grass', 50), ('Ice', 200), ('Fighting', 100), ('Poison', 100), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 200), ('Dark', 100), ('Steel', 50), ('Fairy', 200)]
Electric/Steel:[('Normal', 50), ('Fire', 200), ('Water', 100), ('Electric', 50), ('Grass', 50), ('Ice', 50), ('Fighting', 200), ('Poison', 0), ('Ground', 400), ('Flying', 25), ('Psychic', 50), ('Bug', 50), ('Rock', 50), ('Ghost', 100), ('Dragon', 50), ('Dark', 100), ('Steel', 25), ('Fairy', 50)]
Water/Fighting:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 200), ('Grass', 200), ('Ice', 50), ('Fighting', 100), ('Poison', 100), ('Ground', 100), ('Flying', 200), ('Psychic', 200), ('Bug', 50), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 50), ('Steel', 50), ('Fairy', 200)]
Dark/Steel:[('Normal', 50), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 400), ('Poison', 0), ('Ground', 200), ('Flying', 50), ('Psychic', 0), ('Bug', 100), ('Rock', 50), ('Ghost', 50), ('Dragon', 50), ('Dark', 50), ('Steel', 50), ('Fairy', 100)]
Steel/Dragon:[('Normal', 50), ('Fire', 100), ('Water', 50), ('Electric', 50), ('Grass', 25), ('Ice', 100), ('Fighting', 200), ('Poison', 0), ('Ground', 200), ('Flying', 50), ('Psychic', 50), ('Bug', 50), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Psychic/Poison:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 25), ('Poison', 50), ('Ground', 200), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 50)]
Normal/Ghost:[('Normal', 0), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 0), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 0), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 100)]
Rock/Dark:[('Normal', 50), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 200), ('Ice', 100), ('Fighting', 400), ('Poison', 50), ('Ground', 200), ('Flying', 50), ('Psychic', 0), ('Bug', 200), ('Rock', 100), ('Ghost', 50), ('Dragon', 100), ('Dark', 50), ('Steel', 200), ('Fairy', 200)]
Steel/Fighting:[('Normal', 50), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 200), ('Poison', 0), ('Ground', 200), ('Flying', 100), ('Psychic', 100), ('Bug', 25), ('Rock', 25), ('Ghost', 100), ('Dragon', 50), ('Dark', 50), ('Steel', 50), ('Fairy', 100)]
Fire/Electric:[('Normal', 100), ('Fire', 50), ('Water', 200), ('Electric', 50), ('Grass', 50), ('Ice', 50), ('Fighting', 100), ('Poison', 100), ('Ground', 400), ('Flying', 50), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 25), ('Fairy', 50)]
Psychic/Steel:[('Normal', 50), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 100), ('Poison', 0), ('Ground', 200), ('Flying', 50), ('Psychic', 25), ('Bug', 100), ('Rock', 50), ('Ghost', 200), ('Dragon', 50), ('Dark', 200), ('Steel', 50), ('Fairy', 50)]
Ice/Fire:[('Normal', 100), ('Fire', 100), ('Water', 200), ('Electric', 100), ('Grass', 50), ('Ice', 25), ('Fighting', 200), ('Poison', 100), ('Ground', 200), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 400), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Rock/Ground:[('Normal', 50), ('Fire', 50), ('Water', 400), ('Electric', 0), ('Grass', 400), ('Ice', 200), ('Fighting', 200), ('Poison', 25), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 100), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 200), ('Fairy', 100)]
Flying/Ice:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 200), ('Grass', 50), ('Ice', 100), ('Fighting', 100), ('Poison', 100), ('Ground', 0), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 400), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 200), ('Fairy', 100)]
Ice/Rock:[('Normal', 50), ('Fire', 100), ('Water', 200), ('Electric', 100), ('Grass', 200), ('Ice', 50), ('Fighting', 400), ('Poison', 50), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 400), ('Fairy', 100)]
Dragon/Bug:[('Normal', 100), ('Fire', 100), ('Water', 50), ('Electric', 50), ('Grass', 25), ('Ice', 200), ('Fighting', 50), ('Poison', 100), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 200), ('Dark', 100), ('Steel', 100), ('Fairy', 200)]
Psychic/Ice:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 50), ('Fighting', 100), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 50), ('Bug', 200), ('Rock', 200), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 200), ('Fairy', 100)]
Normal/Fighting:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 200), ('Poison', 100), ('Ground', 100), ('Flying', 200), ('Psychic', 200), ('Bug', 50), ('Rock', 50), ('Ghost', 0), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Electric/Ground:[('Normal', 100), ('Fire', 100), ('Water', 200), ('Electric', 0), ('Grass', 200), ('Ice', 200), ('Fighting', 100), ('Poison', 50), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 100), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Ghost/Steel:[('Normal', 0), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 0), ('Poison', 0), ('Ground', 200), ('Flying', 50), ('Psychic', 50), ('Bug', 25), ('Rock', 50), ('Ghost', 200), ('Dragon', 50), ('Dark', 200), ('Steel', 50), ('Fairy', 50)]
Psychic/Dark:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 100), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 0), ('Bug', 400), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 200)]
Dark/Dragon:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 200), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 0), ('Bug', 200), ('Rock', 100), ('Ghost', 50), ('Dragon', 200), ('Dark', 50), ('Steel', 100), ('Fairy', 400)]
Water/Ground:[('Normal', 100), ('Fire', 50), ('Water', 100), ('Electric', 0), ('Grass', 400), ('Ice', 100), ('Fighting', 100), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Dark/Ground:[('Normal', 100), ('Fire', 100), ('Water', 200), ('Electric', 0), ('Grass', 200), ('Ice', 200), ('Fighting', 200), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 0), ('Bug', 200), ('Rock', 50), ('Ghost', 50), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Flying/Bug:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 200), ('Grass', 25), ('Ice', 200), ('Fighting', 25), ('Poison', 100), ('Ground', 0), ('Flying', 200), ('Psychic', 100), ('Bug', 50), ('Rock', 400), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Psychic/Fire:[('Normal', 100), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 50), ('Poison', 100), ('Ground', 200), ('Flying', 100), ('Psychic', 50), ('Bug', 100), ('Rock', 200), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 50), ('Fairy', 50)]
Fire/Dragon:[('Normal', 100), ('Fire', 25), ('Water', 100), ('Electric', 50), ('Grass', 25), ('Ice', 100), ('Fighting', 100), ('Poison', 100), ('Ground', 200), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 200), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Steel/Poison:[('Normal', 50), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 25), ('Ice', 50), ('Fighting', 100), ('Poison', 0), ('Ground', 400), ('Flying', 50), ('Psychic', 100), ('Bug', 25), ('Rock', 50), ('Ghost', 100), ('Dragon', 50), ('Dark', 100), ('Steel', 50), ('Fairy', 25)]
Flying/Poison:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 200), ('Grass', 25), ('Ice', 200), ('Fighting', 25), ('Poison', 50), ('Ground', 0), ('Flying', 100), ('Psychic', 200), ('Bug', 25), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Electric/Dark:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 50), ('Grass', 100), ('Ice', 100), ('Fighting', 200), ('Poison', 100), ('Ground', 200), ('Flying', 50), ('Psychic', 0), ('Bug', 200), ('Rock', 100), ('Ghost', 50), ('Dragon', 100), ('Dark', 50), ('Steel', 50), ('Fairy', 200)]
Water/Grass:[('Normal', 100), ('Fire', 100), ('Water', 25), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 100), ('Poison', 200), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 200), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Flying/Ground:[('Normal', 100), ('Fire', 100), ('Water', 200), ('Electric', 0), ('Grass', 100), ('Ice', 400), ('Fighting', 50), ('Poison', 50), ('Ground', 0), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Ghost/Ground:[('Normal', 0), ('Fire', 100), ('Water', 200), ('Electric', 0), ('Grass', 200), ('Ice', 200), ('Fighting', 0), ('Poison', 25), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 50), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 100)]
Steel:[('Normal', 50), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 200), ('Poison', 0), ('Ground', 200), ('Flying', 50), ('Psychic', 50), ('Bug', 50), ('Rock', 50), ('Ghost', 100), ('Dragon', 50), ('Dark', 100), ('Steel', 50), ('Fairy', 50)]
Fighting/Water:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 200), ('Grass', 200), ('Ice', 50), ('Fighting', 100), ('Poison', 100), ('Ground', 100), ('Flying', 200), ('Psychic', 200), ('Bug', 50), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 50), ('Steel', 50), ('Fairy', 200)]
Dark/Water:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 200), ('Grass', 200), ('Ice', 50), ('Fighting', 200), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 0), ('Bug', 200), ('Rock', 100), ('Ghost', 50), ('Dragon', 100), ('Dark', 50), ('Steel', 50), ('Fairy', 200)]
Normal/Steel:[('Normal', 50), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 400), ('Poison', 0), ('Ground', 200), ('Flying', 50), ('Psychic', 50), ('Bug', 50), ('Rock', 50), ('Ghost', 0), ('Dragon', 50), ('Dark', 100), ('Steel', 50), ('Fairy', 50)]
Ice/Water:[('Normal', 100), ('Fire', 100), ('Water', 50), ('Electric', 200), ('Grass', 200), ('Ice', 25), ('Fighting', 200), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Fighting/Fire:[('Normal', 100), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 100), ('Poison', 100), ('Ground', 200), ('Flying', 200), ('Psychic', 200), ('Bug', 25), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 50), ('Steel', 50), ('Fairy', 100)]
Normal/Psychic:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 100), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 50), ('Bug', 200), ('Rock', 100), ('Ghost', 0), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 100)]
Bug/Fighting:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 50), ('Poison', 100), ('Ground', 50), ('Flying', 400), ('Psychic', 200), ('Bug', 50), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Dragon/Rock:[('Normal', 50), ('Fire', 25), ('Water', 100), ('Electric', 50), ('Grass', 100), ('Ice', 200), ('Fighting', 200), ('Poison', 50), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 200), ('Dark', 100), ('Steel', 200), ('Fairy', 200)]
Electric/Water:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 100), ('Grass', 200), ('Ice', 50), ('Fighting', 100), ('Poison', 100), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 25), ('Fairy', 100)]
Grass/Poison:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 50), ('Grass', 25), ('Ice', 200), ('Fighting', 50), ('Poison', 100), ('Ground', 100), ('Flying', 200), ('Psychic', 200), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Normal/Grass:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 200), ('Poison', 200), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 200), ('Rock', 100), ('Ghost', 0), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Fairy/Dark:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 100), ('Poison', 200), ('Ground', 100), ('Flying', 100), ('Psychic', 0), ('Bug', 100), ('Rock', 100), ('Ghost', 50), ('Dragon', 0), ('Dark', 25), ('Steel', 200), ('Fairy', 200)]
Bug/Dark:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 100), ('Poison', 100), ('Ground', 50), ('Flying', 200), ('Psychic', 0), ('Bug', 200), ('Rock', 200), ('Ghost', 50), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Fighting/Grass:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 100), ('Poison', 200), ('Ground', 50), ('Flying', 400), ('Psychic', 200), ('Bug', 100), ('Rock', 50), ('Ghost', 100), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Fairy/Fire:[('Normal', 100), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 50), ('Poison', 200), ('Ground', 200), ('Flying', 100), ('Psychic', 100), ('Bug', 25), ('Rock', 200), ('Ghost', 100), ('Dragon', 0), ('Dark', 50), ('Steel', 100), ('Fairy', 50)]
Grass/Fire:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 50), ('Grass', 25), ('Ice', 100), ('Fighting', 100), ('Poison', 200), ('Ground', 100), ('Flying', 200), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 50)]
Steel/Water:[('Normal', 50), ('Fire', 100), ('Water', 50), ('Electric', 200), ('Grass', 100), ('Ice', 25), ('Fighting', 200), ('Poison', 0), ('Ground', 200), ('Flying', 50), ('Psychic', 50), ('Bug', 50), ('Rock', 50), ('Ghost', 100), ('Dragon', 50), ('Dark', 100), ('Steel', 25), ('Fairy', 50)]
Normal/Electric:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 50), ('Grass', 100), ('Ice', 100), ('Fighting', 200), ('Poison', 100), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 0), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Water/Ghost:[('Normal', 0), ('Fire', 50), ('Water', 50), ('Electric', 200), ('Grass', 200), ('Ice', 50), ('Fighting', 0), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 100), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 50), ('Fairy', 100)]
Grass/Normal:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 200), ('Poison', 200), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 200), ('Rock', 100), ('Ghost', 0), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Grass/Flying:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 100), ('Grass', 25), ('Ice', 400), ('Fighting', 50), ('Poison', 200), ('Ground', 0), ('Flying', 200), ('Psychic', 100), ('Bug', 100), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Dark/Ice:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 50), ('Fighting', 400), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 0), ('Bug', 200), ('Rock', 200), ('Ghost', 50), ('Dragon', 100), ('Dark', 50), ('Steel', 200), ('Fairy', 200)]
Electric/Normal:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 50), ('Grass', 100), ('Ice', 100), ('Fighting', 200), ('Poison', 100), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 0), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Normal/Ground:[('Normal', 100), ('Fire', 100), ('Water', 200), ('Electric', 0), ('Grass', 200), ('Ice', 200), ('Fighting', 200), ('Poison', 50), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 50), ('Ghost', 0), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 100)]
Poison/Normal:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 100), ('Poison', 50), ('Ground', 200), ('Flying', 100), ('Psychic', 200), ('Bug', 50), ('Rock', 100), ('Ghost', 0), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Steel/Electric:[('Normal', 50), ('Fire', 200), ('Water', 100), ('Electric', 50), ('Grass', 50), ('Ice', 50), ('Fighting', 200), ('Poison', 0), ('Ground', 400), ('Flying', 25), ('Psychic', 50), ('Bug', 50), ('Rock', 50), ('Ghost', 100), ('Dragon', 50), ('Dark', 100), ('Steel', 25), ('Fairy', 50)]
Poison/Steel:[('Normal', 50), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 25), ('Ice', 50), ('Fighting', 100), ('Poison', 0), ('Ground', 400), ('Flying', 50), ('Psychic', 100), ('Bug', 25), ('Rock', 50), ('Ghost', 100), ('Dragon', 50), ('Dark', 100), ('Steel', 50), ('Fairy', 25)]
Dragon:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 50), ('Grass', 50), ('Ice', 200), ('Fighting', 100), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 200), ('Dark', 100), ('Steel', 100), ('Fairy', 200)]
Fire/Poison:[('Normal', 100), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 25), ('Ice', 50), ('Fighting', 50), ('Poison', 50), ('Ground', 400), ('Flying', 100), ('Psychic', 200), ('Bug', 25), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 25)]
Rock/Grass:[('Normal', 50), ('Fire', 100), ('Water', 100), ('Electric', 50), ('Grass', 100), ('Ice', 200), ('Fighting', 200), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 100), ('Bug', 200), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 200), ('Fairy', 100)]
Flying/Steel:[('Normal', 50), ('Fire', 200), ('Water', 100), ('Electric', 200), ('Grass', 25), ('Ice', 100), ('Fighting', 100), ('Poison', 0), ('Ground', 0), ('Flying', 50), ('Psychic', 50), ('Bug', 25), ('Rock', 100), ('Ghost', 100), ('Dragon', 50), ('Dark', 100), ('Steel', 50), ('Fairy', 50)]
Ice/Dark:[('Normal', 100), ('Fire', 200), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 50), ('Fighting', 400), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 0), ('Bug', 200), ('Rock', 200), ('Ghost', 50), ('Dragon', 100), ('Dark', 50), ('Steel', 200), ('Fairy', 200)]
